ReadableTitle,Title,Author,Narrator,Series,Genres,Description
Heretical Fishing 1,HereticalFishing1,HaylockJobson,HeathMiller,HereticalFishing,SliceofLife Fishing Fantasy Humerous LitRPG,When summoned to a fantastical world and granted powers by a broken System most freshly minted protagonists would strap on their big-boy boots and get ready for their stats to start climbing. But Fischer isn't like most MCs. In fact he doesn't want to be a hero at all. Fame? Fortune? Power? He had enough of all that in his old life. Discovering forbidden fishing techniques and petting every cute animal that comes within scritching distance? Now that's a good time.
The Dungeon Anarchist's Cookbook,TheDungeonAnarchist'sCookbook,MattDinniman,JeffHays,DungeonCrawlerCarl,LitRPG ScienceFiction&Fantasy Action&Adventure Humerous Aliens,The top 10 list is populated. The sponsorship program is open. The difficulty is ramping up. The first three floors were nothing compared to what Carl and Donut now face. The Iron Tangle. An impossibly-complicated subway system built out of the world's subterranean railway systems all combined and then tied together into a knot. Up is down. Down is up. Close is far. The cars are filled with monsters the railway stations are less than safe and the exit is always just a few stops away.
Dungeon Crawler Carl,DungeonCrawlerCarl,MattDinniman,JeffHays,DungeonCrawlerCarl,LitRPG ScienceFiction&Fantasy Humerous Action&Adventure Aliens,A man. His ex-girlfriend's cat. A sadistic game show unlike anything in the universe: a dungeon crawl where survival depends on killing your prey in the most entertaining way possible. In a flash every human-erected construction on Earth - from Buckingham Palace to the tiniest of sheds - collapses in a heap sinking into the ground. The buildings and all the people inside have all been atomized and transformed into the dungeon: an 18-level labyrinth filled with traps monsters and loot.
Carl's Doomsday Scenario,Carl'sDoomsdayScenario,MattDinniman,JeffHays,DungeonCrawlerCarl,LitRPG ScienceFiction&Fantasy Humerous Action&Adventure Aliens,The ratings and views are off the chart. The fans just can't get enough. The dungeon gets more dangerous each day. But in a grinder designed to chew up and spit out crawlers by the millions Carl and Princess Donut need to work harder than ever just to survive. They call it the Over City. A sprawling once-thriving metropolis devastated by a mysterious calamity. But these streets are far from abandoned. An undead circus trawls the ruins. Murdered prostitutes rain from the sky. An ancient spell is finally ready to reveal its dark purpose.
Heretical Fishing 2,HereticalFishing2,HaylockJobson,HeathMiller,HereticalFishing,Fantasy Fishing Humerous LitRPG SliceofLife,Fischer has everything he needs in life: blossoming friendships a menagerie of cute animal companions a waterfront property with easy access to fishing and enough coffee to take out a small elephant or a really big dog. Unfortunately Fischer can’t catch a break. Cosmic forces? Still throwing curveballs. The bigwigs in the capital? Starting to sniff around his business. Cults? Still culting. Plus awakened beings are washing up on his shores like flotsam after a storm. And worst of all? His coffee guy ghosted him!
Gideon the Ninth,GideontheNinth,TamsynMuir,MoiraQuirk,TheLockedTombTrilogy,ScienceFiction&Fantasy Dark YoungAdult LGBTQA+,"Publisher's Summary:

The Emperor needs necromancers. 

The Ninth Necromancer needs a swordswoman. 

Gideon has a sword some dirty magazines and no more time for undead nonsense. 

Tamsyn Muir’s Gideon the Ninth unveils a solar system of swordplay cut-throat politics and lesbian necromancers. Her characters leap out of the audio as skillfully animated as arcane revenants. The result is a heart-pounding epic science fantasy. 

Brought up by unfriendly ossifying nuns ancient retainers and countless skeletons Gideon is ready to abandon a life of servitude and an afterlife as a reanimated corpse. She packs up her sword her shoes and her dirty magazines and prepares to launch her daring escape. But her childhood nemesis won’t set her free without a service. 

Harrowhark Nonagesimus Reverend Daughter of the Ninth House and bone witch extraordinaire has been summoned into action. The Emperor has invited the heirs to each of his loyal Houses to a deadly trial of wits and skill. If Harrowhark succeeds she will be become an immortal all-powerful servant of the Resurrection but no necromancer can ascend without their cavalier. Without Gideon’s sword Harrow will fail and the Ninth House will die. 

Of course some things are better left dead."
He Who Fights with Monsters,HeWhoFightswithMonsters,Shirtaloon,HeathMiller,HeWhoFightswithMonsters,Action&Adventure LitRPG Humerous Fantasy,Chapter 115
He Who Fights with Monsters 2,HeWhoFightswithMonsters2,Shirtaloon,HeathMiller,HeWhoFightswithMonsters,Action&Adventure Fantasy LitRPG Humerous,But Jason Asano is settling into his new life. Now a contest draws young elites to the city of Greenstone to compete for a grand prize. Jason must gather a band of companions if he is to stand a chance against the best the world has to offer. While the young adventurers are caught up in competition the city leaders deal with revelations of betrayal as a vast and terrible enemy is revealed. Although Jason seems uninvolved he has unknowingly crossed the enemy’s path before.
The Butcher's Masquerade,TheButcher'sMasquerade,MattDinniman,JeffHays,DungeonCrawlerCarl,LitRPG ScienceFiction&Fantasy Humerous Action&Adventure Aliens,A lush jungle teeming with danger. Savage dinosaurs seeking blood. A fallen princess intent on vengeance. A mysterious end-of-floor celebration for the top crawlers dubbed “The Butcher’s Masquerade”. The sixth floor. The Hunting Grounds. As the remaining crawlers battle for their lives a new terrible threat looms. Outside tourists are finally allowed to enter the game and they are here and ready to hunt. Among them is Vrah a famed and veteran hunter intent on collecting the biggest trophy of her career.
The Eye of the Bedlam Bride,TheEyeoftheBedlamBride,MattDinniman,JeffHays,DungeonCrawlerCarl,LitRPG ScienceFiction&Fantasy Action&Adventure Aliens Humerous,Read by Jeff Hays Patrick Warburton Travis Baldree & Annie Ellicott
The Gate of the Feral Gods,TheGateoftheFeralGods,MattDinniman,JeffHays,DungeonCrawlerCarl,LitRPG ScienceFiction&Fantasy Action&Adventure Aliens Humerous,A floating fortress occupied by warrior gnomes. A castle made of sand. A derelict submarine guarded by malfunctioning machines. A haunted crypt surrounded by lethal traps. It was supposed to be easy. One bubble. Four castles. Fifteen days. Capture each one and the stairwell is unlocked.
He Who Fights with Monsters 3,HeWhoFightswithMonsters3,Shirtaloon,HeathMiller,HeWhoFightswithMonsters,Action&Adventure Fantasy Humerous LitRPG,For all that Jason knows life is amazing. But he's about to learn that all his new power wealth and influence comes at a price. Riding high on success he and his team are looking to the future preparing themselves for the challenges to come. Nothing however could have prepared him for the lessons his enemies have to teach. When magic is involved the stakes can be even greater than life and death. While Jason’s personal enemies make plans the greater foes plaguing his new home have been pushed to the brink.
He Who Fights with Monsters 4,HeWhoFightswithMonsters4,Shirtaloon,HeathMiller,HeWhoFightswithMonsters,Action&Adventure Fantasy Humerous LitRPG,In the wake of an unexpected homecoming Jason questions if there is still a place for him in the world he left behind. Forced to confront what he has become in his time away he feels more alien than ever. But his old world is hiding secrets that he never knew.... As he starts to unravel what has been hidden from him his entire life he discovers that not only might he fit in better than ever but he may be exactly what the world needs.
He Who Fights with Monsters 5,HeWhoFightswithMonsters5,Shirtaloon,HeathMiller,HeWhoFightswithMonsters,Action&Adventure Fantasy Humerous LitRPG,"Jason has discovered that his homeworld is not what he thought. What’s more the rest of the planet is on the precipice of sharing his revelation.
 With magic on the rise and forces pulling him in multiple directions Jason is faced with challenges greater than ever before.
 Even as his power reaches new and incredible heights he is faced with the realization that going beyond his best is still not enough.
 About the series: Experience an isekai culture clash as a laid-back Australian finds himself in a very serious world. See him gain suspiciously evil powers through a unique progression system combining cultivation and traditional LitRPG elements. Enjoy a weak-to-strong story with a main character who earns his power without overshadowing everyone around him with plenty of loot adventurers gods and magic. Rich characters and world-building offer humor political intrigue and slice-of-life elements alongside lots of monster fighting and adventure."
He Who Fights with Monsters 6,HeWhoFightswithMonsters6,Shirtaloon,HeathMiller,HeWhoFightswithMonsters,Fantasy Humerous LitRPG Action&Adventure,The world teeters on the brink of destruction. The people who should be saving the Earth ignore Jason Asano's warnings and choose to loot the house as it burns down around them. He lacks the strength to save the world himself but resolves to do it anyway impossible be damned. The impossible in this case means seizing a power that no mortal should touch. It's a choice from which there is no turning back and marks Jason's first step into a wider cosmos that he is not yet ready to face. Holding the fate of two worlds in his hands Jason must decide for himself what home truly means.
He Who Fights with Monsters 7,HeWhoFightswithMonsters7,Shirtaloon,HeathMiller,HeWhoFightswithMonsters,Action&Adventure Fantasy Humerous LitRPG,Jason arrives at a kingdom in peril and he's surprised to discover that it's not his job to save it. With the authorities fulfilling their responsibilities (for once) he looks forward to some quiet time to rest and recuperate. The locals might not find ceaseless monster onslaughts and an interdimensional invasion relaxing but Jason has had a rough few years. He's doing his best to let go of his anger. While his team is caught up in duty Jason has no shortage of people looking to interfere with his rest. Enemies—old and new—are circling and even would-be allies are trouble.
He Who Fights with Monsters 8,HeWhoFightswithMonsters8,Shirtaloon,HeathMiller,HeWhoFightswithMonsters,Fantasy Action&Adventure Humerous LitRPG,After a much longed-for reunion Jason Asano works on moving past old traumas as he looks to a brighter future. Despite warnings of danger that awaits him he gets back in the saddle as an adventurer ready to tackle new challenges. But as enemies that have lurked in the background start moving into the light those challenges are not hard to find.
He Who Fights with Monsters 9,HeWhoFightswithMonsters9,Shirtaloon,HeathMiller,HeWhoFightswithMonsters,Action&Adventure Fantasy LitRPG Humerous,With the Builder threat behind them the time has finally come for Jason and his team to hit the road. Eager to get back to the adventuring he’s been longing for Jason is excited to not be at the center of world-changing events. But before he goes one last attempt to pull him into politics has him leaving Rimaros with a strong final impression. With new places to visit and new people to meet the remnants of recent events have scarred the land and left lingering dangers behind. It's a busy time for adventurers willing and able to fight with monsters.
He Who Fights with Monsters 10,HeWhoFightswithMonsters10,Shirtaloon,HeathMiller,HeWhoFightswithMonsters,Action&Adventure Fantasy Humerous LitRPG,A subterranean power creates strange bedfellows for Jason and his friends in the epic next installment of He Who Fights with Monsters. Following the devastating attack on Yaresh its people are left to pick up the pieces.  The city lies in ruins but its decimated defenders have more to deal with than just reconstruction. Jason's actions during the battle have brought unwelcome attention from allies and enemies alike. While the adventurers question his loyalty the messengers question his very nature. Both have designs on Jason that he intends to thwart but a danger comes to light that shifts everyone's agenda. Deep underground a hidden civilization has survived by tapping into a long-buried power. That power's growing instability has become both a threat and an opportunity to the warring surface factions. Neither side can stop or claim the power alone leading to an uneasy alliance with a reluctant Jason at the center. The adventurers messengers and Jason himself all have intentions for the power but little idea what awaits them below ground. There are more players involved than any of them realize and soon they will have greater problems than each other. PLEASE NOTE: When you purchase this title the accompanying PDF will be available in your Audible Library along with the audio.
He Who Fights with Monsters 11,HeWhoFightswithMonsters11,Shirtaloon,HeathMiller,HeWhoFightswithMonsters,Humerous LitRPG Action&Adventure Fantasy,Jason and his companions managed to forestall the inexorable undead but their battle is far from done. Both they and their enemies are scattered across a strange realm one that someone must conquer if anyone is to get out alive. Territory by territory factions fight to reunite their people and conquer the realm. Jason must contend with alliances he doesn’t want friends he cannot find and enemies ranging from angelic despots to the power of an undead god. He must face a realm that has been warped by his own mind and find a way to save a friend whose sacrifice got them this far.
Columbus Day,ColumbusDay,CraigAlanson,R.C.Bray,ExpeditionaryForce,Spacewarfare ScienceFiction Action Aliens,We were fighting on the wrong side of a war we couldn't win. And that was the good news. The Ruhar hit us on Columbus Day. There we were innocently drifting along the cosmos on our little blue marble like the Native Americans in 1492. Over the horizon
The Way of Kings (Graphic Audio),TheWayofKings GraphicAudio,BrandonSanderson,GraphicAudio,TheStormlightArchives GraphicAudio,Epic Action&Adventure Fantasy,"The Stormlight Archive [01] The Way Of Kings [01]
===============================
Release Date : Mar 21 2016

Approximate Running Time : 7 Hours

Content Rating : Ages 13+

GraphicAudio® A Movie in Your Mind® proudly releases THE WAY OF KINGS the first of ten planned titles in New York Times Bestselling author Brandon Sanderson’s epic fantasy series THE STORMLIGHT ARCHIVE.

Roshar is a world of stone and storms. Uncanny tempests of incredible power sweep across the rocky terrain so frequently that they have shaped ecology and civilization alike. Animals hide in shells trees pull in branches and grass retracts into the soilless ground. Cities are built only where the topography offers shelter.

It has been centuries since the fall of the 10 consecrated orders known as the Knights Radiant but their Shardblades and Shardplate remain: mystical swords and suits of armor that transform ordinary men into near-invincible warriors. Wars were fought for them and won by them. One such war rages on the Shattered Plains. There Kaladin has been reduced to slavery. In a war that makes no sense where 10 armies fight separately against a single foe he struggles to save his men and to fathom the leaders who consider them expendable.

Brightlord Dalinar Kholin commands one of those other armies. Like his brother the late king he is fascinated by an ancient text called The Way of Kings. Troubled by visions of ancient times and the Knights Radiant he has begun to doubt his own sanity.

Across the ocean an untried young woman named Shallan seeks to train under an eminent scholar and notorious heretic Dalinar's niece Jasnah. Though she genuinely loves learning Shallan's motives are less than pure. As she plans a daring theft her research for Jasnah hints at secrets of the Knights Radiant and the true cause of the war.

Director Rose Supan says “Brandon Sanderson is at the top of his game with THE STORMLIGHT ARCHIVES. It's an honor to direct this story. The actors as well as our production team are thrilled to be a part of the process as well. I can proudly proclaim that the listener is in for a truly immersive experience!”

© 2010 by Brandon Sanderson. Recorded with the permission of the Author and Dragonsteel Enterainment LLC Production. All rights reserved. ℗ 2016 The Cutting Corporation. All rights reserved."
Words Of Radiance (Graphic Audio),WordsOfRadiance GraphicAudio,BrandonSanderson,GraphicAudio,TheStormlightArchives GraphicAudio,Epic Action&Adventure Fantasy,"The Stormlight Archive [02] Words Of Radiance [01]

Release Date : Sep 19 2016

Approximate Running Time : 8 Hours

Content Rating : Ages 13+

Six years ago the Assassin in White a hireling of the inscrutable Parshendi assassinated the Alethi king on the very night a treaty between men and Parshendi was being celebrated. So began the Vengeance Pact among the highprinces of Alethkar and the War of Reckoning against the Parshendi.

Now the Assassin is active again murdering rulers all over the world of Roshar using his baffling powers to thwart every bodyguard and elude all pursuers. Among his prime targets is Highprince Dalinar widely considered the power behind the Alethi throne. His leading role in the war would seem reason enough but the Assassin's master has much deeper motives.

Expected by his enemies to die the miserable death of a military slave Kaladin survived to be given command of the royal bodyguards a controversial first for a low-status ""darkeyes."" Now he must protect the king and Dalinar from every common peril as well as the distinctly uncommon threat of the Assassin all while secretly struggling to master remarkable new powers that are somehow linked to his honorspren Syl.

Brilliant but troubled Shallan strives along a parallel path. Despite being broken in ways she refuses to acknowledge she bears a terrible burden: to somehow prevent the return of the legendary Voidbringers and the civilization-ending Desolation that will follow. The secrets she needs can be found at the Shattered Plains but just arriving there proves more difficult than she could have imagined.

Meanwhile at the heart of the Shattered Plains the Parshendi are making an epochal decision. Hard pressed by years of Alethi attacks their numbers ever shrinking they are convinced by their war leader Eshonai to risk everything on a desperate gamble with the very supernatural forces they once fled. The possible consequences for Parshendi and humans alike indeed for Roshar itself are as dangerous as they are incalculable.

© 2014 by Brandon Sanderson. Recorded with the permission of the Author and Dragonsteel Enterainment LLC Production. All rights reserved. ℗ 2016 The Cutting Corporation. All rights reserved."
SpecOps,SpecOps,CraigAlanson,R.C.Bray,ExpeditionaryForce,Aliens Action ScienceFiction Spacewarfare,Colonel Joe Bishop made a promise and he's going to keep it: taking the captured alien starship Flying Dutchman back out. He doesn't agree when the UN decides to send almost 70 elite Special Operations troops hotshot pilots and scientists with him; th
